ID,Temperature1,Temperature2,Speed,Time,Num,Y1,Y2,Y3,T1,T2,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,K1,L1,M1,A2,B2,C2,D2,E2,F2,G2,H2,I2,J2,K2,L2,M2
22,240,240,0,8,597,9.92,14.19,9,1,PbSe,3,3,72.8125,3.039,3.363,0.575,13.234,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,DPP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
23,240,240,0,90,3056,26.14,10.71,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
24,240,240,0,120,3518,22.37,7.47,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
25,240,240,0,150,5012,24.98,7.96,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
26,240,240,0,180,2936,25.6,8.77,1,1,PbSe,5,5,120.3125,5.015,5.605,22.214,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
27,160,160,0,5,4558,7.23,6.21,9,1,PbSe,5,5,46.875,5.015,5.605,27.791,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
28,160,160,0,5,1608,14.72,11.67,6,1,PbSe,5,5,46.875,5.015,5.605,38.882,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
29,160,160,0,2,3964,7.38,8.22,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
30,160,160,0,5,4338,7.77,6.82,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
31,160,160,0,10,4550,8.14,6.39,9,1,PbSe,5,5,46.875,5.015,5.605,13.864,0,0,0,0,0,0,0,PbO,Se,ODE,OLA,TOP,OA,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder
