ID,Temperature1,Temperature2,Speed,Time,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,G2,H1,H2,I1,I2,J1,J2,Y1,Y2,Y3,Num,scaleplate
30,160,160,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.77,6.82,sphere,4338,0.215517241
31,160,160,0,10,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.14,6.39,sphere,4550,0.215517241
32,160,160,0,20,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.9,10.29,sphere,2605,0.215517241
33,160,160,0,40,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.98,14.63,sphere,1909,0.215517241
34,160,160,0,60,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,13.864,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.58,12.53,sphere,2597,0.215517241
35,160,160,0,2,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,6.88,7.52,sphere,5774,0.215517241
36,160,160,0,5,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.09,7.56,sphere,3835,0.215517241
37,160,160,0,10,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.46,5.84,sphere,868,0.215517241
38,160,160,0,20,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,7.86,5.84,sphere,959,0.215517241
39,160,160,0,40,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,8.75,6.86,sphere,2255,0.215517241
40,160,160,0,60,1,PbSe,5,PbO,5,Se,46.875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,9.34,7.46,sphere,1907,0.215517241
41,160,160,0,5,1,PbSe,5,PbO,5,Se,120.1875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.68,6.99,sphere,604,0.408994313
42,160,160,0,10,1,PbSe,5,PbO,5,Se,120.1875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.09,4.54,sphere,1528,0.510204082
43,160,160,0,20,1,PbSe,5,PbO,5,Se,120.1875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,12.47,2.24,sphere,6,0.961538462
44,160,160,0,40,1,PbSe,5,PbO,5,Se,120.1875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,11.76,5.77,sphere,2372,0.510204082
45,160,160,0,60,1,PbSe,5,PbO,5,Se,120.1875,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,12.78,5.94,sphere,6359,0.510204082
46,160,160,0,10,1,PbSe,5,PbO,5,Se,31.25,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.23,11.55,sphere,18042,0.510204082
47,160,160,0,20,1,PbSe,5,PbO,5,Se,31.25,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,10.88,21.13,sphere,9208,0.510204082
48,160,160,0,40,1,PbSe,5,PbO,5,Se,31.25,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,12.19,26.4,sphere,14441,0.510204082
49,160,160,0,60,1,PbSe,5,PbO,5,Se,31.25,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,13.95,24.67,sphere,5974,0.510204082
50,160,160,0,90,1,PbSe,5,PbO,5,Se,31.25,ODE,5.015,OLA,5.605,TOP,22.214,OA,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,0,PlaceHolder,14.26,20.35,sphere,7699,0.510204082
