ID,Temperature1,Temperature2,Speed,Time,T1,T2,A1,A2,B1,B2,C1,C2,D1,D2,E1,E2,F1,F2,G1,H1,I1,J1,K1,L1,M1,G2,H2,I2,J2,K2,L2,M2,Y1,Shape,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,40,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.43596,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,42,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.465972,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,44,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.526392,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,46,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.612204,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,48,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.655383,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,50,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.675451,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,52,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.696951,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,54,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.738578,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,56,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.794126,1,
1,180,180,0,20,1,PbSe,4,PbO,6,Se,37.5,ODE,58,OLA,6.7,TOP,5,OA,0,0,0,0,0,0,0,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,PlaceHolder,10.832744,1,
