x,y,shape,cluster
-24.716291427612305,-35.823856353759766,9,0
-25.23651123046875,-35.48722457885742,9,0
-25.5961856842041,-35.23692321777344,9,0
-18.286544799804688,-34.86516571044922,9,0
-17.808074951171875,-35.588314056396484,9,0
-18.25795555114746,-34.76018142700195,9,0
-3.7672934532165527,-38.6286506652832,9,0
-4.144359588623047,-38.55199432373047,9,0
-25.4521484375,-29.173320770263672,9,5
-18.546833038330078,-32.888004302978516,9,0
-19.489704132080078,-30.955656051635742,9,0
-18.407611846923828,-30.883251190185547,9,0
-18.203292846679688,-30.722475051879883,9,0
-15.411581039428711,-26.943674087524414,9,0
-20.934972763061523,-16.6778507232666,9,5
-38.35736846923828,-17.47960662841797,9,5
38.56673812866211,-39.414581298828125,1,1
4.022390365600586,-37.48326110839844,6,0
5.658071994781494,-36.52271270751953,6,0
4.074209213256836,-37.88414001464844,6,0
4.593906879425049,-37.71403503417969,6,0
6.644461154937744,-38.91951370239258,6,0
7.0810041427612305,-39.028045654296875,6,0
-13.329972267150879,-30.338592529296875,9,0
-14.72128963470459,-34.12725830078125,9,0
-10.262897491455078,-24.404600143432617,9,0
4.208146095275879,-35.12455368041992,6,0
-31.002824783325195,-34.35356140136719,9,0
0.5872595310211182,-41.26496887207031,6,0
-32.21836853027344,-29.604799270629883,9,0
-32.724815368652344,-29.585098266601562,9,0
-24.433673858642578,-30.69514274597168,9,5
-24.842512130737305,-30.276002883911133,9,5
-24.231842041015625,-31.01491355895996,9,5
-23.46851348876953,-31.861669540405273,9,0
-32.21346664428711,-28.972423553466797,9,0
-32.6097412109375,-28.277400970458984,9,0
-15.334933280944824,-30.538223266601562,9,0
-15.513654708862305,-30.036239624023438,9,0
-12.487971305847168,-34.7591552734375,9,0
-12.415963172912598,-34.79508590698242,9,0
-4.724131107330322,-19.487075805664062,9,5
-35.19318389892578,-26.919170379638672,9,5
24.932003021240234,-28.947744369506836,1,1
20.82296371459961,-28.722225189208984,1,1
-4.70566987991333,-19.12847900390625,9,5
-33.105751037597656,-29.83014488220215,9,0
-25.526506423950195,-32.01591110229492,9,5
-59.548954010009766,-16.209060668945312,9,5
-27.06832504272461,-37.4402961730957,9,0
-15.030741691589355,-22.2991886138916,9,0
-8.751238822937012,-27.193695068359375,9,0
-3.308359384536743,-20.19757652282715,9,5
-3.0177159309387207,-39.742801666259766,6,0
28.30168914794922,-34.10807418823242,5,0
-4.972380638122559,-31.115192413330078,9,0
-4.066154479980469,-28.81015396118164,9,0
-3.742922306060791,-30.16651725769043,1,0
-3.949169874191284,-29.55910301208496,9,0
-3.4033637046813965,-28.472816467285156,1,0
