,PbO,Se,ODE,OLA,TOP,OA
PbO,0.13734807,0.12514707,0.10379124,0.18905878,0.13104102,0.099156275
Se,0.15465559,0.13738452,0.06645568,0.31115556,0.12021941,0.06154076
ODE,0.16597666,0.19201227,0.023815367,0.416392,0.10492198,0.021964865
OLA,0.12318048,0.13049361,0.13167012,0.10180891,0.11926079,0.13596025
TOP,0.1303049,0.18850745,0.023426544,0.478592,0.09352662,0.020462181
OA,0.16267571,0.18533447,0.024759723,0.42376772,0.10570085,0.022652
