,PbO,Se,ODE,OLA,TOP,OA
PbO,0.20361193,0.12472135,0.110816255,0.113644116,0.11423722,0.11124107
Se,0.1124292,0.21705244,0.103647634,0.14544527,0.107676074,0.11876037
ODE,0.22965202,0.15270272,0.087989286,0.114940934,0.13868123,0.09202835
OLA,0.10123435,0.26360258,0.09412175,0.14366712,0.10691765,0.108556315
TOP,0.11944817,0.2567915,0.08897526,0.13978301,0.114888735,0.10291597
OA,0.24398783,0.13178895,0.09035913,0.10891282,0.13946113,0.09104037
