,PbO,Se,ODE,OLA,TOP,OA
PbO,0.14064425,0.16628842,0.0596344,0.08218974,0.28801703,0.06548005
Se,0.14373556,0.1349052,0.08542881,0.101238005,0.21701203,0.09076601
ODE,0.07705997,0.23127607,0.012510898,0.08249415,0.4956154,0.010163939
OLA,0.122048974,0.13014576,0.12659132,0.12450224,0.11871397,0.12696797
TOP,0.14160243,0.14090358,0.08963599,0.09994076,0.20299225,0.09555928
OA,0.07721318,0.23025632,0.01245846,0.082647935,0.49633408,0.010152324
