,area,maxR,minR,D
0,37.16362847222223,7.031250000000001,6.25,6.878822675187881
1,54.6603732638889,8.072916666666668,7.812500000000001,8.342406653332596
2,54.389105902777786,8.072916666666668,7.812500000000001,8.321680145151298
3,55.33854166666668,8.854166666666668,7.812500000000001,8.39399902299104
4,46.86143663194445,7.291666666666667,7.291666666666667,7.724366268043783
5,55.609809027777786,8.072916666666668,7.812500000000001,8.414547398959561
6,56.287977430555564,8.333333333333334,7.812500000000001,8.465700133937162
7,59.204101562500014,8.59375,7.812500000000001,8.68222340877565
8,57.57649739583334,9.010417262713116,7.968750596046449,8.56204843082052
9,49.30284288194445,7.812500000000001,7.291666666666667,7.923025257132291
10,57.508680555555564,8.59375,7.812500000000001,8.557004513781413
11,61.713324652777786,8.854166666666668,8.59375,8.864301742664003
12,55.81325954861112,8.854166666666668,7.812500000000001,8.429925810934465
13,55.94889322916668,8.333333333333334,7.812500000000001,8.440162518787208
14,49.30284288194445,8.333333333333334,7.031250000000001,7.923025257132291
15,46.522352430555564,7.552083333333334,7.031250000000001,7.696369197789913
16,54.59255642361112,8.501716454823812,7.802945375442506,8.337229856896553
17,40.69010416666667,7.291666666666667,7.031250000000001,7.197794780652823
18,54.32128906250001,8.854166666666668,7.552083333333334,8.316490447019385
19,46.92925347222223,7.7282458543777475,7.728244860967001,7.729953513814509
20,56.42361111111112,8.618178963661194,8.268792927265167,8.475893635683791
21,50.59136284722223,7.812500000000001,7.812500000000001,8.025890841466053
22,57.16959635416668,8.333333333333334,8.333333333333334,8.531740199670416
23,53.236219618055564,8.333333333333334,7.812500000000001,8.233010386846004
24,49.43847656250001,7.812500000000001,7.291666666666667,7.933916018640324
25,43.94531250000001,7.812500000000001,6.510416666666667,7.480167757526863
26,50.04882812500001,7.812500000000001,7.552083333333334,7.98274057804733
27,54.79600694444446,8.333333333333334,8.072916666666668,8.352750620918194
28,58.3224826388889,9.375,7.812500000000001,8.617336667611596
29,58.119032118055564,8.333333333333334,8.072916666666668,8.60229329855948
30,31.467013888888893,6.25,5.46875,6.329695603902603
31,56.62706163194446,8.333333333333334,7.812500000000001,8.491160943707696
32,54.59255642361112,8.667190869649252,7.8726982076962795,8.337229856896553
33,40.01193576388889,7.031250000000001,6.770833333333334,7.1375611294045305
34,49.03157552083334,7.812500000000001,7.552083333333334,7.9011986998045804
35,52.015516493055564,8.333333333333334,7.552083333333334,8.138071794889894
36,57.508680555555564,9.114583333333334,7.552083333333334,8.557004513781413
37,50.45572916666668,8.333333333333334,7.552083333333334,8.015125054136545
38,52.89713541666668,7.812500000000001,7.812500000000001,8.20674872380719
39,45.43728298611112,7.552083333333334,7.291666666666667,7.606086083081027
40,45.233832465277786,7.812500000000001,6.770833333333334,7.589038427542511
41,56.55924479166668,8.333333333333334,8.072916666666668,8.486074892970619
42,52.8293185763889,8.333333333333334,7.812500000000001,8.201486300230604
43,44.21657986111112,7.812500000000001,6.510416666666667,7.503219176600607
44,46.92925347222223,8.59375,6.770833333333334,7.729953513814509
45,36.756727430555564,6.510416666666667,6.25,6.841061240745842
46,56.220160590277786,8.333333333333334,8.333333333333334,8.460598777563147
47,54.52473958333334,8.333333333333334,7.812500000000001,8.332049844059183
48,55.2707248263889,8.333333333333334,8.072916666666668,8.388854064479478
49,45.5050998263889,7.552083333333334,6.770833333333334,7.611760150325254
50,55.067274305555564,8.268792927265167,8.268792927265167,8.373400221332544
51,53.57530381944446,8.45051109790802,7.944925129413606,8.259188546347485
52,54.456922743055564,8.333333333333334,7.812500000000001,8.326866608817868
53,49.84537760416668,8.618177970250448,7.220635811487834,7.966498973067244
54,49.70974392361112,7.812500000000001,7.552083333333334,7.955652815589689
55,37.02799479166667,6.770833333333334,6.510416666666667,6.866258605019014
56,57.37304687500001,8.333333333333334,7.812500000000001,8.546907749776766
57,49.03157552083334,7.812500000000001,7.291666666666667,7.9011986998045804
58,53.168402777777786,8.072916666666668,7.812500000000001,8.227764760071446
59,29.364691840277782,5.989583333333334,5.729166666666667,6.114596214796496
60,52.89713541666668,8.333333333333334,7.812500000000001,8.20674872380719
61,55.067274305555564,8.333333333333334,7.812500000000001,8.373400221332544
62,43.13151041666667,7.812500000000001,6.510416666666667,7.410583289232812
63,57.508680555555564,8.072916666666668,7.812500000000001,8.557004513781413
64,46.99707031250001,7.812500000000001,7.291666666666667,7.735536724014303
65,37.977430555555564,6.770833333333334,6.25,6.953730393879736
66,53.98220486111112,8.072916666666668,7.812500000000001,8.290493226651924
67,41.91080729166667,7.031250000000001,6.770833333333334,7.304963873663223
68,44.080946180555564,7.291666666666667,7.031250000000001,7.491702333009886
69,53.57530381944446,8.540752530097961,7.849359015623729,8.259188546347485
70,52.42241753472223,8.072916666666668,7.812500000000001,8.169840575912502
71,52.35460069444446,8.072916666666668,7.291666666666667,8.164554363404392
72,47.20052083333334,7.552083333333334,7.291666666666667,7.7522622283496005
73,54.93164062500001,8.072916666666668,8.072916666666668,8.363081794466115
74,51.405164930555564,7.812500000000001,7.812500000000001,8.09018471935076
75,61.84895833333334,8.854166666666668,8.333333333333334,8.874037387270654
76,56.084526909722236,8.333333333333334,7.812500000000001,8.450386826011085
77,58.525933159722236,8.333333333333334,8.333333333333334,8.632353821031973
78,55.609809027777786,8.59375,7.812500000000001,8.414547398959561
79,54.863823784722236,8.333333333333334,8.072916666666668,8.357917803980243
80,48.82812500000001,8.333333333333334,7.031250000000001,7.884789131313001
81,43.94531250000001,7.552083333333334,6.770833333333334,7.480167757526863
82,46.92925347222223,7.552083333333334,7.552083333333334,7.729953513814509
83,42.65679253472223,7.291666666666667,6.770833333333334,7.369688942334813
84,55.20290798611112,8.59375,7.552083333333334,8.383705948582238
85,48.48904079861112,7.907056311766307,7.557848095893861,7.857363694717736
86,45.43728298611112,7.552083333333334,7.291666666666667,7.606086083081027
87,52.08333333333334,7.812500000000001,7.552083333333334,8.143375198382
88,59.271918402777786,8.59375,8.333333333333334,8.687194622128164
89,53.98220486111112,8.333333333333334,8.072916666666668,8.290493226651924
90,43.74186197916667,7.031250000000001,6.770833333333334,7.462832467114781
91,52.89713541666668,7.812500000000001,7.812500000000001,8.20674872380719
92,61.170789930555564,8.854166666666668,7.812500000000001,8.825251765375922
93,47.81087239583334,7.812500000000001,7.291666666666667,7.802223619114092
94,49.37065972222223,7.802945375442506,7.802945375442506,7.928472507866624
95,50.116644965277786,7.812500000000001,7.552083333333334,7.988147108012225
96,54.389105902777786,8.333333333333334,7.552083333333334,8.321680145151298
97,52.76150173611112,8.268792927265167,8.035869399706524,8.196220497889843
98,65.57888454861113,9.114583333333334,8.854166666666668,9.13770371082984
99,49.03157552083334,7.812500000000001,7.812500000000001,7.9011986998045804
100,64.83289930555557,8.854166666666668,8.333333333333334,9.08558260078385
101,62.05240885416668,8.854166666666668,8.333333333333334,8.888620860358449
102,52.08333333333334,8.333333333333334,7.552083333333334,8.143375198382
103,46.92925347222223,7.552083333333334,6.770833333333334,7.729953513814509
104,48.14995659722223,7.552083333333334,7.291666666666667,7.829842196166221
105,41.2326388888889,7.552083333333334,6.510416666666667,7.245621185731301
106,62.798394097222236,9.084026018778484,8.501716454823812,8.94189010838573
107,49.37065972222223,7.812500000000001,7.552083333333334,7.928472507866624
108,49.7775607638889,8.072916666666668,7.291666666666667,7.961077741426773
109,52.42241753472223,8.072916666666668,7.812500000000001,8.169840575912502
110,45.03038194444445,7.291666666666667,7.031250000000001,7.571952390645027
111,51.405164930555564,8.333333333333334,7.291666666666667,8.09018471935076
112,58.593750000000014,8.59375,7.812500000000001,8.637353736783387
113,51.947699652777786,8.072916666666668,7.291666666666667,8.132764933031186
114,36.078559027777786,6.510416666666667,6.25,6.777658007839322
115,53.4396701388889,8.072916666666668,7.812500000000001,8.248727252033259
116,49.91319444444446,8.072916666666668,7.552083333333334,7.971916518047722
117,48.01432291666668,7.552083333333334,7.291666666666667,7.818806472293823
118,41.16482204861112,6.770833333333334,6.770833333333334,7.239660163590389
119,33.77278645833334,6.510416666666667,6.25,6.557503126544906
120,48.14995659722223,8.072916666666668,6.770833333333334,7.829842196166221
121,62.798394097222236,8.59375,8.333333333333334,8.94189010838573
122,55.609809027777786,8.333333333333334,7.812500000000001,8.414547398959561
123,49.91319444444446,7.291666666666667,7.291666666666667,7.971916518047722
124,48.69249131944445,7.812500000000001,7.552083333333334,7.873830419788726
125,48.285590277777786,7.812500000000001,7.031250000000001,7.8408623876807315
126,43.53841145833334,7.552083333333334,6.770833333333334,7.445456814977879
127,47.47178819444445,7.552083333333334,7.291666666666667,7.774506928960738
128,56.15234375000001,8.072916666666668,8.072916666666668,8.45549434344689
129,55.33854166666668,8.072916666666668,7.812500000000001,8.39399902299104
130,41.639539930555564,7.150432467460633,7.150432467460633,7.28128483608231
131,56.15234375000001,8.333333333333334,8.072916666666668,8.45549434344689
132,44.080946180555564,8.072916666666668,6.510416666666667,7.491702333009886
133,52.2189670138889,7.812500000000001,7.552083333333334,8.153971657254175
134,44.013129340277786,7.291666666666667,7.291666666666667,7.485937266874812
135,42.4533420138889,7.291666666666667,6.770833333333334,7.352093161695522
136,42.99587673611112,7.291666666666667,7.031250000000001,7.398922254016141
137,51.47298177083334,7.812500000000001,7.812500000000001,8.095519493896434
138,45.233832465277786,7.291666666666667,7.031250000000001,7.589038427542511
139,46.79361979166668,7.552083333333334,7.291666666666667,7.718774977938661
140,38.79123263888889,7.031250000000001,6.25,7.027839738131105
141,51.67643229166668,8.072916666666668,7.812500000000001,8.111502766108087
142,31.127929687500007,6.25,6.25,6.2954992672432795
143,49.64192708333334,8.385254939397177,7.453559339046479,7.950224187993663
144,36.62109375000001,7.031250000000001,6.25,6.8284276912004955
145,37.63834635416667,6.770833333333334,6.25,6.922617350147525
146,47.87868923611112,7.812500000000001,7.031250000000001,7.807755150201783
147,66.46050347222223,9.172777334849041,8.739417791366577,9.1989206531985
148,32.21299913194445,6.25,5.729166666666667,6.404284842924396
149,45.16601562500001,7.812500000000001,7.291666666666667,7.583347359304877
150,28.88997395833334,5.729166666666667,5.46875,6.064969685836777
151,51.54079861111112,8.072916666666668,7.552083333333334,8.100850755253909
152,35.671657986111114,6.510416666666667,6.510416666666667,6.739329757044431
153,48.5568576388889,8.072916666666668,7.552083333333334,7.8628564347766785
154,46.92925347222223,7.552083333333334,7.291666666666667,7.729953513814509
155,46.522352430555564,7.552083333333334,7.031250000000001,7.696369197789913
156,54.11783854166668,8.333333333333334,8.072916666666668,8.300901885147344
157,42.52115885416667,7.291666666666667,6.770833333333334,7.357963097290629
158,40.28320312500001,7.552083333333334,6.510416666666667,7.161715381621159
159,51.47298177083334,7.9713692267735805,7.9713692267735805,8.095519493896434
160,55.74544270833334,8.333333333333334,7.812500000000001,8.424802792648528
161,52.89713541666668,8.333333333333334,7.552083333333334,8.20674872380719
162,41.77517361111112,7.552083333333334,6.510416666666667,7.29313396489078
163,43.87749565972223,7.291666666666667,6.770833333333334,7.474393794676851
164,53.71093750000001,8.072916666666668,7.552083333333334,8.269636606876919
165,50.726996527777786,8.59375,7.291666666666667,8.036642207091838
166,43.94531250000001,8.333333333333334,6.510416666666667,7.480167757526863
167,54.863823784722236,8.333333333333334,7.812500000000001,8.357917803980243
168,37.09581163194445,6.770833333333334,6.510416666666667,6.872543511236455
169,53.57530381944446,8.333333333333334,8.072916666666668,8.259188546347485
170,56.42361111111112,8.59375,7.812500000000001,8.475893635683791
171,54.863823784722236,8.333333333333334,7.812500000000001,8.357917803980243
172,46.92925347222223,8.072916666666668,6.770833333333334,7.729953513814509
173,45.64073350694445,7.812500000000001,6.770833333333334,7.623095614759193
174,53.168402777777786,8.5227370262146,7.8726982076962795,8.227764760071446
175,34.450954861111114,6.510416666666667,6.25,6.623014274713045
176,43.19932725694445,7.291666666666667,6.770833333333334,7.416406931223317
177,56.96614583333334,8.072916666666668,8.072916666666668,8.51654563694402
178,43.6740451388889,7.031250000000001,6.770833333333334,7.4570450816246145
179,59.67881944444446,8.854166666666668,7.812500000000001,8.71696236654584
180,48.69249131944445,7.812500000000001,7.291666666666667,7.873830419788726
181,51.67643229166668,8.152330418427786,7.919406394163768,8.111502766108087
182,45.844184027777786,7.552083333333334,7.291666666666667,7.640067277209201
183,48.82812500000001,8.072916666666668,7.552083333333334,7.884789131313001
184,29.296875000000007,5.989583333333334,5.729166666666667,6.1075313987865
185,32.619900173611114,6.25,5.989583333333334,6.444606027241314
186,45.36946614583334,7.291666666666667,7.291666666666667,7.6004077798759075
187,61.713324652777786,8.59375,8.59375,8.864301742664003
188,62.866210937500014,9.207119544347128,8.654691775639852,8.94671703996987
189,43.94531250000001,7.291666666666667,7.031250000000001,7.480167757526863
190,47.60742187500001,7.812500000000001,6.770833333333334,7.78560544557325
191,61.91677517361112,8.854166666666668,8.333333333333334,8.878901206428532
192,48.82812500000001,8.072916666666668,7.031250000000001,7.884789131313001
193,53.71093750000001,8.333333333333334,8.072916666666668,8.269636606876919
194,42.792426215277786,7.291666666666667,6.770833333333334,7.381396160107743
195,50.32009548611112,8.333333333333334,7.031250000000001,8.004344786912046
196,26.78765190972223,5.729166666666667,5.208333333333334,5.84012822822057
197,55.067274305555564,8.59375,8.072916666666668,8.373400221332544
198,61.781141493055564,8.854166666666668,8.333333333333334,8.869170900813488
199,48.14995659722223,8.072916666666668,7.291666666666667,7.829842196166221
200,49.506293402777786,7.812500000000001,7.291666666666667,7.93935579714615
201,38.519965277777786,7.031250000000001,6.510416666666667,7.003223761489566
202,34.38313802083334,6.770833333333334,6.25,6.616492348685375
203,46.59016927083334,8.333333333333334,6.770833333333334,7.701976753504908
204,53.03276909722223,8.59375,7.552083333333334,8.217263460629228
205,57.37304687500001,8.333333333333334,8.072916666666668,8.546907749776766
206,37.50271267361112,6.770833333333334,6.510416666666667,6.91013290833702
207,59.67881944444446,8.59375,8.333333333333334,8.71696236654584
208,29.09342447916667,5.729166666666667,5.46875,6.086287746947314
209,46.25108506944445,7.552083333333334,7.031250000000001,7.673897998887314
210,44.55566406250001,7.812500000000001,6.770833333333334,7.531934242033076
211,43.53841145833334,7.291666666666667,7.291666666666667,7.445456814977879
212,41.91080729166667,7.031250000000001,6.510416666666667,7.304963873663223
213,33.16243489583334,6.770833333333334,5.729166666666667,6.497978417098684
214,46.99707031250001,7.552083333333334,7.291666666666667,7.735536724014303
215,52.89713541666668,8.333333333333334,7.812500000000001,8.20674872380719
216,38.519965277777786,6.770833333333334,6.510416666666667,7.003223761489566
217,54.6603732638889,8.333333333333334,7.812500000000001,8.342406653332596
218,52.08333333333334,8.854166666666668,7.031250000000001,8.143375198382
219,38.79123263888889,7.031250000000001,6.510416666666667,7.027839738131105
220,59.882269965277786,8.333333333333334,8.333333333333334,8.731808183205722
221,48.285590277777786,7.552083333333334,7.552083333333334,7.8408623876807315
222,50.726996527777786,8.59375,7.291666666666667,8.036642207091838
223,59.746636284722236,8.59375,8.333333333333334,8.721913779820177
224,53.03276909722223,8.072916666666668,7.552083333333334,8.217263460629228
225,47.064887152777786,8.072916666666668,7.031250000000001,7.741115907375021
226,42.860243055555564,7.291666666666667,7.031250000000001,7.387242811448259
227,50.45572916666668,7.812500000000001,7.552083333333334,8.015125054136545
228,40.62228732638889,7.031250000000001,6.770833333333334,7.191794117016446
229,56.76269531250001,8.333333333333334,8.333333333333334,8.501323916757217
230,70.46169704861113,9.375,9.114583333333334,9.471780142689155
231,48.285590277777786,7.812500000000001,7.291666666666667,7.8408623876807315
232,53.168402777777786,8.072916666666668,7.552083333333334,8.227764760071446
233,51.405164930555564,7.812500000000001,7.812500000000001,8.09018471935076
234,48.5568576388889,7.9194068908691415,7.802945872147879,7.8628564347766785
235,45.301649305555564,7.812500000000001,7.031250000000001,7.594725231208669
236,58.25466579861112,8.333333333333334,7.812500000000001,8.612325130887864
237,57.440863715277786,8.333333333333334,8.072916666666668,8.551957621856811
238,32.82335069444445,6.510416666666667,5.46875,6.4646723114847084
239,37.02799479166667,6.770833333333334,6.510416666666667,6.866258605019014
240,42.99587673611112,7.031250000000001,7.031250000000001,7.398922254016141
241,57.64431423611112,8.333333333333334,8.072916666666668,8.56708937822857
242,41.91080729166667,7.031250000000001,6.770833333333334,7.304963873663223
243,39.46940104166667,6.770833333333334,6.770833333333334,7.089005728115984
244,36.01074218750001,6.770833333333334,6.510416666666667,6.77128503228064
245,40.14756944444445,6.770833333333334,6.770833333333334,7.1496484558101026
246,52.8293185763889,7.812500000000001,7.812500000000001,8.201486300230604
247,40.75792100694445,7.812500000000001,6.510416666666667,7.203790445816263
248,42.65679253472223,6.770833333333334,6.770833333333334,7.369688942334813
249,29.364691840277782,5.729166666666667,5.729166666666667,6.114596214796496
250,39.06250000000001,7.031250000000001,6.510416666666667,7.052369794346954
251,41.50390625000001,7.552083333333334,6.510416666666667,7.269416393251998
252,54.52473958333334,8.072916666666668,7.812500000000001,8.332049844059183
253,61.84895833333334,8.854166666666668,8.59375,8.874037387270654
254,38.65559895833334,7.291666666666667,6.25,7.015542546316242
255,40.69010416666667,7.737305760383607,6.528351704279582,7.197794780652823
256,51.74424913194446,7.812500000000001,7.812500000000001,8.116823529399896
257,42.182074652777786,7.291666666666667,7.031250000000001,7.328566403252919
258,52.35460069444446,8.072916666666668,8.072916666666668,8.164554363404392
259,55.33854166666668,8.072916666666668,8.072916666666668,8.39399902299104
260,45.16601562500001,7.552083333333334,7.031250000000001,7.583347359304877
261,46.454535590277786,7.291666666666667,7.031250000000001,7.69075755344353
262,41.639539930555564,7.552083333333334,6.770833333333334,7.28128483608231
263,44.080946180555564,7.552083333333334,6.510416666666667,7.491702333009886
264,33.637152777777786,6.770833333333334,5.989583333333334,6.544322202410644
265,35.671657986111114,6.770833333333334,6.510416666666667,6.739329757044431
266,41.16482204861112,6.770833333333334,6.770833333333334,7.239660163590389
267,40.961371527777786,7.291666666666667,6.510416666666667,7.221747574912574
268,39.33376736111112,7.291666666666667,5.989583333333334,7.076814823603902
269,34.79003906250001,6.770833333333334,5.989583333333334,6.6555280404529915
270,47.60742187500001,7.552083333333334,7.291666666666667,7.78560544557325
271,45.912000868055564,7.291666666666667,6.770833333333334,7.64571612624504
272,56.42361111111112,8.59375,7.812500000000001,8.475893635683791
273,36.48546006944445,6.510416666666667,6.25,6.815770724450201
274,46.79361979166668,8.072916666666668,6.510416666666667,7.718774977938661
275,46.25108506944445,7.291666666666667,7.291666666666667,7.673897998887314
276,45.5050998263889,7.291666666666667,7.031250000000001,7.611760150325254
277,45.912000868055564,7.291666666666667,7.031250000000001,7.64571612624504
278,51.67643229166668,7.812500000000001,7.552083333333334,8.111502766108087
279,48.285590277777786,7.552083333333334,7.552083333333334,7.8408623876807315
280,40.351019965277786,7.031250000000001,6.770833333333334,7.167741226508513
281,40.28320312500001,7.812500000000001,5.989583333333334,7.161715381621159
282,54.25347222222223,8.333333333333334,7.812500000000001,8.31129750836318
283,49.98101128472223,7.812500000000001,7.552083333333334,7.977330383879231
284,59.950086805555564,8.59375,8.072916666666668,8.73675118285619
285,52.35460069444446,7.812500000000001,7.552083333333334,8.164554363404392
286,40.418836805555564,7.291666666666667,6.510416666666667,7.1737620097847135
287,44.48784722222223,7.291666666666667,7.031250000000001,7.526199993587049
288,49.09939236111112,7.812500000000001,7.552083333333334,7.906660987840205
289,41.16482204861112,7.291666666666667,6.770833333333334,7.239660163590389
290,58.45811631944446,8.59375,8.333333333333334,8.627351007617845
291,49.91319444444446,8.072916666666668,7.552083333333334,7.971916518047722
292,44.75911458333334,7.812500000000001,6.770833333333334,7.549110853261617
293,47.47178819444445,7.552083333333334,7.291666666666667,7.774506928960738
294,54.389105902777786,8.072916666666668,7.552083333333334,8.321680145151298
295,43.94531250000001,7.552083333333334,7.031250000000001,7.480167757526863
296,52.69368489583334,7.812500000000001,7.552083333333334,8.190951310268481
297,52.89713541666668,8.286407589912415,7.73397982120514,8.20674872380719
298,55.609809027777786,8.385254939397177,8.268792927265167,8.414547398959561
299,55.609809027777786,8.333333333333334,8.072916666666668,8.414547398959561
300,46.04763454861112,8.854166666666668,6.510416666666667,7.6570013222412845
301,57.03396267361112,8.333333333333334,8.333333333333334,8.52161350150257
302,48.01432291666668,7.812500000000001,7.031250000000001,7.818806472293823
303,45.03038194444445,8.072916666666668,6.510416666666667,7.571952390645027
304,35.536024305555564,6.25,6.25,6.726505140747552
305,41.91080729166667,7.291666666666667,7.031250000000001,7.304963873663223
306,25.906032986111114,5.989583333333334,4.947916666666667,5.743220842448096
307,48.69249131944445,7.812500000000001,7.291666666666667,7.873830419788726
308,48.01432291666668,7.812500000000001,7.031250000000001,7.818806472293823
309,49.64192708333334,8.59375,7.031250000000001,7.950224187993663
310,43.94531250000001,7.291666666666667,7.031250000000001,7.480167757526863
311,44.82693142361112,7.812500000000001,6.770833333333334,7.554827711978148
312,41.91080729166667,7.453559339046479,6.98771228392919,7.304963873663223
313,33.230251736111114,6.25,5.989583333333334,6.504619173473645
314,44.42003038194445,7.291666666666667,7.291666666666667,7.520461372856658
315,46.59016927083334,7.812500000000001,7.291666666666667,7.701976753504908
316,40.07975260416667,7.031250000000001,6.770833333333334,7.143607349149806
317,47.60742187500001,7.812500000000001,7.552083333333334,7.78560544557325
318,54.59255642361112,8.333333333333334,7.812500000000001,8.337229856896553
319,35.12912326388889,6.770833333333334,5.729166666666667,6.687883739379693
320,42.860243055555564,7.291666666666667,6.510416666666667,7.387242811448259
321,40.14756944444445,7.291666666666667,6.25,7.1496484558101026
322,39.06250000000001,7.031250000000001,6.510416666666667,7.052369794346954
323,59.00065104166668,8.854166666666668,8.072916666666668,8.667292660996852
324,42.58897569444445,8.072916666666668,6.510416666666667,7.3638283537798035
325,35.80729166666667,6.770833333333334,6.25,6.752130015029765
326,58.45811631944446,8.59375,8.072916666666668,8.627351007617845
327,44.623480902777786,7.812500000000001,6.770833333333334,7.537664128173331
328,50.32009548611112,8.072916666666668,7.552083333333334,8.004344786912046
329,44.21657986111112,7.552083333333334,7.031250000000001,7.503219176600607
330,31.33138020833334,6.510416666666667,5.729166666666667,6.316039286798541
331,51.26953125000001,8.59375,7.291666666666667,8.079504602853767
332,41.571723090277786,7.291666666666667,6.770833333333334,7.275353034823914
333,36.62109375000001,6.770833333333334,5.989583333333334,6.8284276912004955
334,61.577690972222236,9.375,8.072916666666668,8.854555393655561
335,60.1535373263889,9.028323491414389,8.23383132616679,8.751563430591188
336,38.65559895833334,7.031250000000001,6.25,7.015542546316242
337,35.468207465277786,6.770833333333334,6.25,6.720083654662536
338,53.10058593750001,7.812500000000001,7.812500000000001,8.222515786803507
339,49.43847656250001,7.812500000000001,7.552083333333334,7.933916018640324
340,51.13389756944446,7.812500000000001,7.812500000000001,8.06881034985046
341,48.963758680555564,8.072916666666668,7.031250000000001,7.895732632945022
342,38.587782118055564,6.770833333333334,6.510416666666667,7.009385860140154
343,40.21538628472223,6.770833333333334,6.510416666666667,7.1556844623354126
344,56.220160590277786,8.854166666666668,7.552083333333334,8.460598777563147
345,33.77278645833334,6.770833333333334,5.729166666666667,6.557503126544906
346,57.1017795138889,8.59375,8.333333333333334,8.526678353956571
347,36.48546006944445,6.510416666666667,5.989583333333334,6.815770724450201
348,51.405164930555564,7.812500000000001,7.812500000000001,8.09018471935076
349,32.82335069444445,6.71707292397817,6.0670336087544765,6.4646723114847084
350,54.59255642361112,8.333333333333334,7.552083333333334,8.337229856896553
351,36.078559027777786,7.031250000000001,6.25,6.777658007839322
352,30.65321180555556,5.989583333333334,5.729166666666667,6.247309936602799
353,39.53721788194445,7.291666666666667,6.510416666666667,7.095093325397622
354,38.79123263888889,6.770833333333334,6.510416666666667,7.027839738131105
355,32.14518229166667,6.25,6.25,6.397539938638171
356,40.48665364583334,7.291666666666667,6.770833333333334,7.179777744183386
