true,pred
11.6,8.226894
5.4,5.5440326
5.0,5.506348
4.6,4.662422
4.4,4.14923
14.7,5.622026
5.0,6.2890906
12.29,16.58164
5.8,4.3732266
5.6,9.280207
12.15,7.066221
2.4,1.5625474
1.6,3.3560035
7.28,7.470642
12.21,10.56471
14.57,9.733784
18.18,13.791464
9.7,8.887208
3.5,6.8172107
7.38,6.2564855
5.4,5.0162587
1.1,6.4682384
7.82,13.043406
16.68,12.441681
14.03,14.140416
13.92,14.204876
9.37,8.667276
7.97,9.294117
16.17,16.066347
8.14,7.87162
8.9,8.679433
10.58,11.405475
7.09,7.571947
9.34,10.279072
11.09,9.189671
12.19,12.8076315
15.88,17.052448
12.21,11.791464
17.85,15.764487
19.98,15.591437
15.53,17.239922
18.32,18.942833
19.13,18.745752
14.41,16.270191
9.15,9.134935
12.05,9.163648
7.74,9.060078
10.06,9.913914
14.08,16.593288
6.98,6.775201
6.18,6.0899625
7.7,6.5760593
12.99,13.484643
13.63,14.776877
5.68,4.4372134
7.95,7.960004
4.4,7.2322707
7.92,8.385759
16.87,16.664993
13.84,12.9003
8.77,8.561924
10.09,11.252004
8.19,6.186325
6.05,6.573821
6.36,7.9995027
6.7,8.803805
5.85,4.973372
6.0,8.914269
5.95,5.340199
5.83,5.3380575
6.0,5.8523006
9.79,10.196621
12.37,12.367192
12.77,12.469108
9.95,9.747104
13.34,13.348598
13.77,13.43998
8.93,10.459703
10.01,10.22235
5.68,3.6636155
5.77,6.8644576
6.26,6.2602
9.59,7.882907
7.11,8.569687
4.66,4.959233
17.49,15.735994
8.83,7.4152284
7.05,6.5447955
3.64,4.19977
12.84,12.96568
4.68,3.501303
6.09,2.390609
17.33,12.942237
4.4,4.195079
2.17,1.9216905
2.86,2.5584111
2.9,2.9916875
3.9,4.209158
6.03,5.6593413
7.21,12.143733
6.86,10.5118265
8.98,12.946879
7.5,6.626989
8.71,9.708305
16.55,13.125246
14.83,15.36302
9.25,11.609411
8.58,9.868494
11.17,12.141558
11.4,15.350807
5.9,7.9250975
8.69,7.8857374
13.3,10.902594
9.23,9.426257
11.55,11.720203
4.3,3.8958688
4.1,6.958173
4.9,4.2238417
5.6,8.935114
7.1,7.568568
12.1,12.314884
5.3,5.4995375
4.349,5.4261675
8.51,10.963591
12.41,13.917655
11.22,10.184231
7.68,9.111707
7.85,5.9646025
8.8,13.088121
9.5,13.819786
12.4,15.124202
8.9,10.941849
7.34,8.944063
7.74,8.946993
5.7,7.7657785
10.1,6.0046606
7.5,6.3806286
6.4,7.534872
12.71,12.360126
4.78,6.1418743
17.13,9.530712
10.8,12.0604
9.15,6.676362
10.7,8.799547
8.5,9.138248
11.0,16.39104
13.0,18.463572
2.7,10.67056
5.41,5.721177
13.1,16.725428
9.07,5.625844
7.42,9.294521
9.13,10.100228
9.92,9.275523
7.77,7.8735056
6.88,6.7168984
8.75,8.987817
11.76,12.472776
13.95,12.630115
14.26,13.169057
14.54,13.539691
6.08,6.074202
6.35,6.0132318
10.0,8.541287
6.39,6.106424
18.54,17.261349
19.97,20.0
18.28,17.051594
18.05,19.48169
18.72,19.391697
18.9,19.23277
18.84,17.35242
15.56,14.418447
13.95,15.286065
15.05,15.717268
11.32,11.41597
13.22,12.034293
14.47,15.296685
13.46,14.562087
19.83,14.893859
15.65,15.314745
6.33,6.3555236
7.32,7.9634533
7.47,8.323876
16.62,15.237586
9.19,8.852729
8.51,9.475379
4.72,7.4881034
13.83,14.123028
10.2,10.077269
8.62,8.902332
12.36,10.9901705
8.94,8.621648
9.69,9.973546
11.7,11.305253
10.51,17.835089
7.64,7.395762
10.36,10.333478
10.12,9.490182
9.36,9.888248
5.38,5.3695397
5.54,5.69464
12.97,12.565287
11.5,12.054643
8.76,9.670621
6.89,6.631285
8.45,12.41335
17.04,11.802895
5.0,5.5315933
5.9,5.9197025
5.02,6.487891
7.14,7.6283827
6.35,6.1648855
6.95,9.455437
8.39,8.117624
8.98,8.555337
7.81,9.79
6.55,4.3946867
6.73,6.984815
5.65,7.024857
12.46,11.121203
4.5,3.431776
4.08,3.8664112
4.71,4.7811255
6.34,3.5022612
4.4,5.0835176
3.4,3.1300757
5.49,5.5791845
7.6,7.4764924
8.9,10.557914
4.92,4.6485405
8.08,9.587826
13.27,7.112663
5.0,5.6602306
12.92,11.967263
4.1,5.6092253
5.2,11.619787
9.5,9.43798
15.9,13.112032
9.8,9.866605
14.3,14.485924
13.6,13.774318
7.79,7.700061
16.71,12.007428
5.94,6.141737
10.97,10.588473
9.33,10.589317
7.79,10.596586
8.2,6.5167365
9.3,6.1825423
11.56,4.7726836
6.9,6.7509394
4.31,4.6828957
5.094,5.1349463
4.8,5.4767346
5.0,5.4342275
4.7,6.82029
7.3,5.5018287
8.24,7.5373845
8.66,4.396192
16.1,4.028781
